Arxiv	41238fc4d18e11ea9a8facde48001122	Restricted Collapsed Draw: Accurate Sampling for Hierarchical Chinese
  Restaurant Process Hidden Markov Models	stat.ML	http://arxiv.org/abs/1106.0474v1
Arxiv	42c53c06d18e11ea9a8facde48001122	Bayesian inference from photometric redshift surveys	astro-ph.CO	http://arxiv.org/abs/1106.2757v1
Arxiv	4457fc7ad18e11ea9a8facde48001122	Monte Carlo algorithms for model assessment via conflicting summaries	stat.ME	http://arxiv.org/abs/1106.5919v1
Arxiv	45fb2f20d18e11ea9a8facde48001122	Joint Modeling of Multiple Related Time Series via the Beta Process	stat.ME	http://arxiv.org/abs/1111.4226v1
Arxiv	479c9ca6d18e11ea9a8facde48001122	Markovian stochastic approximation with expanding projections	math.PR	http://arxiv.org/abs/1111.5421v2
Arxiv	493a7c0ed18e11ea9a8facde48001122	Bayesian inference for logistic models using Polya-Gamma latent
  variables	stat.ME	http://arxiv.org/abs/1205.0310v3
Arxiv	4ad97498d18e11ea9a8facde48001122	General Construction of Irreversible Kernel in Markov Chain Monte Carlo	cond-mat.stat-mech	http://arxiv.org/abs/1207.0258v1
Arxiv	4c8b980cd18e11ea9a8facde48001122	Estimating the granularity coefficient of a Potts-Markov random field
  within an MCMC algorithm	stat.CO	http://arxiv.org/abs/1207.5355v1
Arxiv	4e1d01f6d18e11ea9a8facde48001122	A completely random T-tessellation model and Gibbsian extensions	math.ST	http://arxiv.org/abs/1302.1809v3
Arxiv	4fbd360cd18e11ea9a8facde48001122	Adaptive Metropolis-Hastings Sampling using Reversible Dependent Mixture
  Proposals	stat.ME	http://arxiv.org/abs/1305.2634v2
Arxiv	52d20c82d18e11ea9a8facde48001122	Generalized Denoising Auto-Encoders as Generative Models	cs.LG	http://arxiv.org/abs/1305.6663v4
Arxiv	546fc6a6d18e11ea9a8facde48001122	Monte Carlo methods for light propagation in biological tissues	stat.CO	http://arxiv.org/abs/1311.5343v2
Arxiv	56121b3ad18e11ea9a8facde48001122	Bayesian spike inference from calcium imaging data	q-bio.NC	http://arxiv.org/abs/1311.6864v1
Arxiv	57b3e086d18e11ea9a8facde48001122	A Hamiltonian Monte Carlo method for Bayesian Inference of Supermassive
  Black Hole Binaries	gr-qc	http://arxiv.org/abs/1311.7539v1
Arxiv	5944bdb2d18e11ea9a8facde48001122	Bayesian Variable Selection on Model Spaces Constrained by Heredity
  Conditions	stat.ME	http://arxiv.org/abs/1312.6611v2
Arxiv	5af4145ad18e11ea9a8facde48001122	Empirical Study of the GARCH model with Rational Errors	q-fin.CP	http://arxiv.org/abs/1312.7057v1
Arxiv	5c9cc63ad18e11ea9a8facde48001122	Efficient computational strategies for doubly intractable problems with
  applications to Bayesian social networks	stat.CO	http://arxiv.org/abs/1403.4402v2
Arxiv	5ea2e3b0d18e11ea9a8facde48001122	A Multiple Prior Monte Carlo Method for the Backward Heat Diffusion
  Problem	math.NA	http://arxiv.org/abs/1405.4766v1
Arxiv	60862e58d18e11ea9a8facde48001122	Convergence of a Metropolized Integrator for Stochastic Differential
  Equations with Variable Diffusion Coefficient	math.NA	http://arxiv.org/abs/1405.5264v2
Arxiv	62275174d18e11ea9a8facde48001122	Normalizations of the Proposal Density in Markov Chain Monte Carlo
  Algorithms	math.NA	http://arxiv.org/abs/1410.2972v2
Arxiv	653b6a6cd18e11ea9a8facde48001122	Non-parametric Bayesian Learning with Deep Learning Structure and Its
